complaint_id,title,description,department,priority,severity_score,fraud_score,is_duplicate,latitude,longitude,status,created_at
C00789,Public nuisance,Public nuisance. Section matter style oil consider local check something.,Public Safety,Low,10,82,False,17.33344598,78.58493419,In Progress,2025-12-24 08:52:51
C00790,Traffic signal failure,Traffic signal failure. Recent instead us movie or protect wife social article.,Traffic,Low,17,38,False,17.31336694,78.38985512,Resolved,2026-03-21 08:52:51
C00791,Garbage not collected,Garbage not collected. Case debate stock military sense perform model consumer hand.,Sanitation,High,68,60,False,17.34622901,78.56004103,Resolved,2025-09-08 08:52:51
C00792,Traffic signal failure,Traffic signal failure. Chair table whose move close right attack foot wish interesting station want.,Traffic,High,81,53,False,17.4951444,78.37704782,Assigned,2025-08-31 08:52:51
C00793,Pipeline burst,Pipeline burst. Foreign us collection according new end she continue.,Water Supply,High,100,23,False,17.25846801,78.42013087,Assigned,2025-06-19 08:52:51
C00794,Garbage not collected,Garbage not collected. Artist director five report view deal nice head beyond sport take too military degree agreement.,Sanitation,High,60,92,False,17.4416662,78.43423097,Assigned,2025-07-21 08:52:51
C00795,Sewage overflow,Sewage overflow. About medical lay peace necessary seem take they.,Drainage,High,88,42,False,17.43142112,78.37967512,Assigned,2026-02-04 08:52:51
C00796,Sewage overflow,Sewage overflow. To top eye teacher church increase fast value wife investment.,Drainage,Medium,48,75,False,17.41094968,78.47838419,Assigned,2026-05-02 08:52:51
C00797,Water leakage,Water leakage. Agency treat fact it whether challenge get laugh list catch.,Water Supply,High,55,100,False,17.44217262,78.53914462,In Progress,2025-09-23 08:52:51
C00798,Trash accumulation,Trash accumulation. Grow our blood be four four up win table marriage effort ready our type would stage.,Sanitation,High,88,47,False,17.32149718,78.46018296,Closed,2026-05-31 08:52:51
C00799,Illegal parking,Illegal parking. Practice radio machine reduce these nature professional interview option rise toward coach film single.,Traffic,Critical,92,48,False,17.34132537,78.5667404,Pending,2025-12-06 08:52:51
C00800,Drain blockage,Drain blockage. Outside group audience media without response me generation mind drug respond political race change.,Drainage,High,62,15,False,17.46225405,78.3602795,In Progress,2025-08-28 08:52:51
C00801,Abandoned vehicle,Abandoned vehicle. Behavior theory star approach science game shake none.,Public Safety,High,91,76,True,17.32635336,78.43671264,Resolved,2025-07-29 08:52:51
C00802,Road crack,Road crack. End add red college sell recent space heart deep.,Roads,High,61,93,False,17.52521057,78.404968,Resolved,2025-06-21 08:52:51
C00803,Broken bench,Broken bench. Interesting environmental total program really me fight admit exactly leader near open town.,Parks,Low,10,53,False,17.30679691,78.5649905,Closed,2025-10-30 08:52:51
C00804,No water supply,No water supply. Usually rich analysis feeling usually source cold which during play land the.,Water Supply,Low,9,73,False,17.32687568,78.46837497,Assigned,2025-12-05 08:52:51
C00805,Sewage overflow,Sewage overflow. Option anything perhaps can I grow professor group idea.,Drainage,High,95,4,False,17.29262816,78.60987446,Closed,2025-07-27 08:52:51
C00806,No water supply,No water supply. No security under will themselves door another line experience two.,Water Supply,High,74,60,False,17.37776039,78.55271158,Resolved,2026-04-06 08:52:51
C00807,Illegal parking,Illegal parking. Serve course late could animal decade film.,Traffic,Medium,46,61,False,17.32196779,78.36898653,Assigned,2026-04-04 08:52:51
C00808,Pipeline burst,Pipeline burst. Box authority address outside I nor now term store establish teach store threat.,Water Supply,Medium,33,3,False,17.41180243,78.51169093,In Progress,2025-12-29 08:52:51
C00809,Pipeline burst,Pipeline burst. Me important against pattern way sometimes agree police thing civil check experience.,Water Supply,Low,2,89,False,17.53033175,78.52086706,Assigned,2025-09-26 08:52:51
C00810,Broken bench,Broken bench. Assume certain lead section easy still could really deep him dark woman one.,Parks,Medium,48,68,False,17.47992704,78.52258219,Pending,2025-08-13 08:52:51
C00811,Power outage,Power outage. Page sort per would head institution street if.,Electrical,Medium,48,81,False,17.43118236,78.45643159,Pending,2025-07-03 08:52:51
C00812,Street light not working,Street light not working. Local spend capital about lay speech sport federal federal mind game trip.,Electrical,Medium,30,46,False,17.24819307,78.49162948,Assigned,2025-11-13 08:52:51
C00813,Traffic congestion,Traffic congestion. Leader serious a name hope pull home.,Traffic,Low,4,89,False,17.25230176,78.58237715,In Progress,2025-12-22 08:52:51
C00814,Broken bench,Broken bench. Use none establish character character movement provide teach source face response section value door almost animal.,Parks,Medium,42,57,False,17.30168945,78.36702829,In Progress,2025-08-16 08:52:51
C00815,Garbage not collected,Garbage not collected. Such game soldier what executive central travel.,Sanitation,High,63,78,False,17.34084701,78.40411878,Assigned,2026-04-05 08:52:51
C00816,Traffic signal failure,Traffic signal failure. Pull guess air participant fight term pretty have bit lose film American sit talk carry.,Traffic,Medium,44,56,False,17.48533687,78.49632588,In Progress,2025-06-05 08:52:51
C00817,Illegal parking,Illegal parking. Who build claim avoid house send fine single man mouth strong response information it.,Traffic,High,69,10,False,17.47775169,78.55472293,Closed,2025-09-18 08:52:51
C00818,Abandoned vehicle,Abandoned vehicle. Lay pretty owner fund easy how former set can everyone apply offer attack thus.,Public Safety,High,69,78,False,17.39331523,78.61938643,Assigned,2025-12-05 08:52:51
C00819,Sewage overflow,Sewage overflow. Expert themselves above sport still trip recognize Congress wife career whole marriage through school.,Drainage,Medium,39,87,False,17.4725584,78.48631026,In Progress,2026-04-13 08:52:51
C00820,No water supply,No water supply. Sing who TV attack sport member someone body reveal soon.,Water Supply,Low,3,49,False,17.42105686,78.39754371,Pending,2025-08-04 08:52:51
C00821,No water supply,No water supply. Movement have level government list home break glass more poor material challenge administration.,Water Supply,High,69,42,False,17.37295512,78.46576984,Pending,2026-01-19 08:52:51
C00822,Park maintenance issue,Park maintenance issue. Go second see build official wear television home finish.,Parks,Medium,49,45,False,17.45373816,78.53954009,In Progress,2025-07-25 08:52:51
C00823,Loose electric wire,Loose electric wire. Administration former yourself could middle arrive rest.,Electrical,Low,3,66,False,17.26914246,78.47191222,Assigned,2026-03-15 08:52:51
C00824,Damaged playground,Damaged playground. Seat material hit outside southern lay he.,Parks,Critical,90,18,False,17.36122848,78.61061899,Pending,2025-08-06 08:52:51
C00825,Pipeline burst,Pipeline burst. Until economy job but last necessary soldier lead must then.,Water Supply,High,74,7,False,17.30444401,78.50011567,In Progress,2025-09-30 08:52:51
C00826,Water leakage,Water leakage. Street report pay race as team win miss.,Water Supply,Low,16,76,True,17.2614731,78.4918576,Resolved,2026-03-05 08:52:51
C00827,Road crack,Road crack. Goal goal whether month least two education catch father read course American treatment.,Roads,Low,19,23,False,17.27650211,78.44099395,Pending,2025-12-30 08:52:51
C00828,Road crack,Road crack. All factor rise ever better under data story some.,Roads,High,69,65,False,17.45477681,78.54731152,In Progress,2025-08-26 08:52:51
C00829,Sewage overflow,Sewage overflow. Bring half difference with face onto medical sign set might machine man candidate fish chance.,Drainage,Medium,39,94,False,17.28193748,78.53901193,Closed,2025-06-24 08:52:51
C00830,Trash accumulation,Trash accumulation. Research speech citizen nation thank wait coach ability onto.,Sanitation,Low,10,86,False,17.45616433,78.44846079,Resolved,2025-07-31 08:52:51
C00831,No water supply,No water supply. Culture east run create reality level population decision really town poor toward establish us.,Water Supply,Low,25,98,False,17.33855167,78.34826987,Assigned,2025-09-13 08:52:51
C00832,Trash accumulation,Trash accumulation. Worry mother thing wall process water his again job throw two table quickly include end.,Sanitation,High,70,10,False,17.51641962,78.37808353,Assigned,2025-06-07 08:52:51
C00833,Drain blockage,Drain blockage. Build close ability piece make management weight science say agree appear clearly strong.,Drainage,Medium,43,12,False,17.24239031,78.43121131,Pending,2025-08-15 08:52:51
C00834,Traffic signal failure,Traffic signal failure. Simply model speech guy over culture window even minute.,Traffic,High,61,53,False,17.43938885,78.48584153,Closed,2026-06-01 08:52:51
C00835,Street light not working,Street light not working. Scientist carry section standard Congress change sound say hand effort city may environment discuss throughout.,Electrical,Critical,94,10,False,17.38349059,78.34003882,Assigned,2026-02-20 08:52:51
C00836,Power outage,Power outage. Board half available on somebody ahead involve space institution.,Electrical,Medium,29,40,False,17.28656803,78.46452843,In Progress,2025-10-03 08:52:51
C00837,Overflowing waste bins,Overflowing waste bins. Election between feel think girl recent might hear marriage meet anyone.,Sanitation,Low,24,5,False,17.27960402,78.55995953,Assigned,2025-09-02 08:52:51
C00838,Damaged pavement,Damaged pavement. Step foreign care air light focus society easy than pattern American moment second nearly before.,Roads,High,92,31,False,17.23500966,78.52401599,Pending,2025-10-13 08:52:51
C00839,No water supply,No water supply. Too place space imagine paper method rich lay face.,Water Supply,High,53,28,False,17.26410246,78.62191996,Assigned,2026-02-23 08:52:51
C00840,Pipeline burst,Pipeline burst. Approach experience sing attorney north board spend girl game leg them event message current alone base.,Water Supply,High,72,4,False,17.50312034,78.4313608,Closed,2025-09-20 08:52:51
C00841,Unsafe area,Unsafe area. Time right oil focus service beyond that long thousand new take listen trouble few task.,Public Safety,Medium,49,9,False,17.40462181,78.6179438,Assigned,2025-07-25 08:52:51
C00842,Traffic signal failure,Traffic signal failure. Race southern might behavior official traditional collection color.,Traffic,High,64,49,False,17.31733981,78.41335721,Resolved,2026-06-02 08:52:51
C00843,No water supply,No water supply. Score be whose pass office ten act entire.,Water Supply,Medium,42,31,False,17.34836556,78.56853368,Resolved,2025-06-16 08:52:51
C00844,Drain blockage,Drain blockage. Southern majority any event best speech success institution somebody word economy community Mr public add always.,Drainage,High,74,10,False,17.28599087,78.51363282,Resolved,2025-06-03 08:52:51
C00845,Illegal parking,Illegal parking. Garden smile father project here also appear truth power home movie learn seem physical great member.,Traffic,High,72,14,False,17.49615943,78.59979175,Pending,2025-12-30 08:52:51
C00846,Abandoned vehicle,Abandoned vehicle. Raise tell partner fire team there activity wall sometimes high young be trouble measure try computer.,Public Safety,Critical,89,1,False,17.40867295,78.48401655,Resolved,2026-02-14 08:52:51
C00847,Traffic congestion,Traffic congestion. Nation throughout color letter practice let policy popular.,Traffic,High,96,54,False,17.50482589,78.38318949,Resolved,2026-03-01 08:52:51
C00848,Sewage overflow,Sewage overflow. Perform again seven effort beyond easy feel.,Drainage,Medium,37,25,False,17.37263967,78.38086038,Resolved,2025-12-07 08:52:51
C00849,No water supply,No water supply. Grow thousand actually lay fall world doctor whom amount quite southern price total parent.,Water Supply,High,62,13,False,17.37139089,78.35922412,In Progress,2025-11-20 08:52:51
C00850,Overflowing waste bins,Overflowing waste bins. Run capital identify beat often plan necessary serious believe benefit until too almost.,Sanitation,High,76,38,False,17.33819358,78.52068194,In Progress,2026-05-24 08:52:51
C00851,Broken bench,Broken bench. Word surface onto describe face economic audience black article activity.,Parks,Medium,50,51,False,17.34894014,78.4025099,In Progress,2026-05-16 08:52:51
C00852,Traffic signal failure,Traffic signal failure. Lead bring physical example girl law tonight whom hour perhaps high various exactly study natural.,Traffic,Medium,34,53,True,17.47273462,78.54629827,In Progress,2025-09-21 08:52:51
C00853,Broken bench,Broken bench. Hit certain give discussion eat animal seven.,Parks,Medium,40,15,False,17.34211941,78.48226183,Resolved,2026-03-22 08:52:51
C00854,Traffic congestion,Traffic congestion. Surface Republican capital style truth against may get since southern economic within.,Traffic,Low,11,34,False,17.43482319,78.43993165,Closed,2026-01-14 08:52:51
C00855,Garbage not collected,Garbage not collected. Woman interview resource no upon method accept organization site contain game sister glass against sure method.,Sanitation,Critical,93,82,False,17.36180387,78.40388574,Assigned,2025-10-16 08:52:51
C00856,Water leakage,Water leakage. Office best store see federal seem month training woman doctor ball.,Water Supply,High,78,52,False,17.53398661,78.34941753,Pending,2025-11-23 08:52:51
C00857,Overflowing waste bins,Overflowing waste bins. Second leader alone stay worry environment style born.,Sanitation,Critical,99,16,False,17.32783982,78.4168975,Assigned,2025-07-20 08:52:51
C00858,Abandoned vehicle,Abandoned vehicle. Mr animal report throw team bag language foot somebody lose despite.,Public Safety,Medium,36,95,False,17.44730939,78.62152384,Closed,2025-06-21 08:52:51
C00859,No water supply,No water supply. Effect hospital ten represent feel indeed standard hold someone seem himself hold fast service environment.,Water Supply,High,98,35,False,17.31646822,78.59820702,Closed,2026-02-03 08:52:51
C00860,Street light not working,Street light not working. Brother message bit daughter small arm major.,Electrical,Low,12,82,False,17.49737571,78.56649648,Pending,2026-04-28 08:52:51
C00861,Drain blockage,Drain blockage. Answer option design cut nature tax interesting take local.,Drainage,Medium,26,47,False,17.37766781,78.61204327,Pending,2025-11-21 08:52:51
C00862,Abandoned vehicle,Abandoned vehicle. Break growth school commercial beautiful laugh during around medical never.,Public Safety,Low,7,74,False,17.29667186,78.47742888,Pending,2025-11-04 08:52:51
C00863,Unsafe area,Unsafe area. Foot movie their treatment girl indeed front.,Public Safety,High,92,17,False,17.28042006,78.42465964,Closed,2025-06-05 08:52:51
C00864,Damaged playground,Damaged playground. Point training sit week practice stuff assume common yard security take world region send strong.,Parks,Low,2,55,False,17.50214039,78.4094377,Resolved,2025-09-13 08:52:51
C00865,Waterlogging,Waterlogging. Newspaper may expect perform budget improve source particularly.,Drainage,High,63,4,False,17.41470537,78.45489282,Resolved,2026-02-26 08:52:51
C00866,Unsafe area,Unsafe area. See see often similar letter door land strategy wait interesting at government grow effect.,Public Safety,Medium,44,84,False,17.25309461,78.44414424,In Progress,2026-03-02 08:52:51
C00867,Sewage overflow,Sewage overflow. Congress traditional apply indicate big be note bring.,Drainage,Medium,41,12,False,17.34732457,78.41523817,Pending,2025-09-11 08:52:51
C00868,Illegal parking,Illegal parking. Partner after yeah little method particularly fund understand theory hundred six wait.,Traffic,Critical,86,34,False,17.37697558,78.50551444,In Progress,2025-08-19 08:52:51
C00869,Drain blockage,Drain blockage. Ask exactly source institution star speak today product leader news former worry situation coach five mission.,Drainage,High,84,26,False,17.44197589,78.48970432,Closed,2025-09-17 08:52:51
C00870,Traffic congestion,Traffic congestion. Assume analysis class career claim college during past front know it than budget evening imagine.,Traffic,Medium,26,12,False,17.28246913,78.51535636,Resolved,2026-03-24 08:52:51
C00871,Damaged playground,Damaged playground. Military technology enough paper anything huge run effect response off again vote believe development.,Parks,Low,23,17,False,17.45508781,78.4769847,Pending,2025-08-24 08:52:51
C00872,Road crack,Road crack. Mouth town seem allow industry social air north management.,Roads,High,69,44,True,17.52258291,78.34379336,Closed,2025-12-03 08:52:51
C00873,Pipeline burst,Pipeline burst. This training level you drug once develop window next help performance late design as.,Water Supply,Medium,41,82,False,17.41924816,78.39309054,Pending,2026-05-08 08:52:51
C00874,Power outage,Power outage. Argue specific easy represent data money ok finish east professor wonder prepare result.,Electrical,High,70,18,False,17.42224017,78.57009565,Assigned,2025-12-21 08:52:51
C00875,Loose electric wire,Loose electric wire. Hit attack rule too campaign mind dinner him plan picture vote agent.,Electrical,Critical,86,86,False,17.29981163,78.38938931,In Progress,2025-12-18 08:52:51
C00876,Water leakage,Water leakage. Dog me surface me early rise inside create ok focus population fly doctor itself interview but.,Water Supply,High,86,31,True,17.49005992,78.35227642,Resolved,2026-02-14 08:52:51
C00877,Illegal parking,Illegal parking. Majority test whatever well mind I house surface.,Traffic,High,99,84,False,17.29021012,78.4389643,Assigned,2026-06-01 08:52:51
C00878,Water leakage,Water leakage. A only certain sea happy base return.,Water Supply,Medium,26,60,False,17.36096312,78.46114377,Resolved,2025-11-04 08:52:51
C00879,Sewage overflow,Sewage overflow. Energy message think too agent Mrs lay two head detail several job occur federal maintain apply.,Drainage,Medium,27,88,False,17.27425027,78.33980088,Assigned,2025-09-10 08:52:51
C00880,Damaged pavement,Damaged pavement. Leg alone around direction house everything pay admit easy blue lose manager.,Roads,Medium,30,63,False,17.35493894,78.41754933,Pending,2025-06-03 08:52:51
C00881,Garbage not collected,Garbage not collected. Early glass authority group hour energy state eat image place them drug develop how carry.,Sanitation,High,69,44,False,17.36163708,78.42825786,In Progress,2025-10-20 08:52:51
C00882,Garbage not collected,Garbage not collected. Good nature like fund somebody view fish important finish.,Sanitation,Critical,83,56,False,17.26870103,78.46644365,Closed,2026-02-28 08:52:51
C00883,Abandoned vehicle,Abandoned vehicle. Project national recent age project task call around hard operation.,Public Safety,Critical,99,93,False,17.50916029,78.54252928,Assigned,2025-11-14 08:52:51
C00884,Drain blockage,Drain blockage. Couple serve visit turn hour discuss walk common member treat follow base treatment model situation.,Drainage,Medium,29,6,False,17.3460312,78.37625585,Closed,2026-04-05 08:52:51
C00885,Loose electric wire,Loose electric wire. Home price peace morning people free doctor go cup hear act.,Electrical,Medium,49,100,False,17.27068571,78.48082601,Resolved,2026-03-18 08:52:51
C00886,Illegal parking,Illegal parking. Finish task recently reality understand including officer only during.,Traffic,Low,0,1,True,17.4171942,78.43644351,Closed,2026-05-25 08:52:51
C00887,Abandoned vehicle,Abandoned vehicle. Western week memory chair character almost down store attention reveal maintain.,Public Safety,High,65,76,False,17.30266135,78.41206993,Pending,2025-09-14 08:52:51
C00888,Overflowing waste bins,Overflowing waste bins. Well produce mother together easy foreign your thousand cup food system point.,Sanitation,Low,16,78,False,17.24652712,78.48651897,Resolved,2025-11-19 08:52:51
C00889,Traffic congestion,Traffic congestion. Hundred be interview weight audience until as who for your four place bed street.,Traffic,High,79,68,True,17.42333872,78.51348171,Resolved,2026-05-09 08:52:51
C00890,Street light not working,Street light not working. Past trouble power purpose foot day car Mr now mean defense fast.,Electrical,High,63,51,True,17.50188431,78.55266468,Assigned,2025-12-11 08:52:51
C00891,Public nuisance,Public nuisance. Law newspaper see interest law rise according knowledge.,Public Safety,Low,16,52,False,17.45546335,78.39367582,Closed,2026-02-09 08:52:51
C00892,Loose electric wire,Loose electric wire. Group party future anything meet cup blood reveal region hundred.,Electrical,High,53,96,False,17.48096581,78.55549942,Pending,2026-05-06 08:52:51
C00893,Pipeline burst,Pipeline burst. Administration cell thousand way especially of address word base meet research.,Water Supply,Low,19,32,False,17.25332327,78.40380091,In Progress,2025-10-30 08:52:51
C00894,Overflowing waste bins,Overflowing waste bins. For program challenge be measure former indicate pattern page very according speak save brother thus cold.,Sanitation,Critical,82,15,False,17.43452152,78.62642838,Resolved,2025-07-07 08:52:51
C00895,Trash accumulation,Trash accumulation. First figure would house wall sea face huge challenge effort drug specific strong table.,Sanitation,High,54,59,False,17.44596604,78.53650362,Pending,2025-08-30 08:52:51
C00896,Traffic congestion,Traffic congestion. Receive best only wind player fight writer whom.,Traffic,Low,14,95,False,17.52157353,78.62388834,In Progress,2026-03-15 08:52:51
C00897,Public nuisance,Public nuisance. Drug none whatever three system medical sit health despite concern.,Public Safety,High,57,14,False,17.4463972,78.49598982,Pending,2025-06-16 08:52:51
C00898,Road crack,Road crack. Require house some quite answer director road radio road green.,Roads,Medium,45,68,False,17.5000427,78.61191767,Resolved,2025-11-09 08:52:51
C00899,Pipeline burst,Pipeline burst. Bar candidate important serve require indeed shake Mrs economy.,Water Supply,High,66,72,False,17.42474047,78.55311498,Assigned,2026-05-06 08:52:51
C00900,Garbage not collected,Garbage not collected. Force south have necessary along recently answer unit.,Sanitation,High,78,17,False,17.3990357,78.44267559,Resolved,2026-04-22 08:52:51
C00901,Power outage,Power outage. Remember significant cup big while relationship bag save must level idea more.,Electrical,Low,15,75,False,17.37721687,78.38002136,Closed,2026-03-31 08:52:51
C00902,Street light not working,Street light not working. Them bit what together common whether at.,Electrical,High,59,16,False,17.331417,78.53749527,Closed,2025-09-15 08:52:51
C00903,Public nuisance,Public nuisance. Remember hour word job see economy compare father type pass money quite view in detail.,Public Safety,High,89,42,True,17.45089473,78.57322478,Resolved,2025-09-08 08:52:51
C00904,Power outage,Power outage. Side effect still easy avoid game natural action water here resource yet identify cold.,Electrical,Medium,39,80,False,17.41618529,78.35387834,Assigned,2025-07-18 08:52:51
C00905,Power outage,Power outage. Stock ability attention writer science month book smile race nor.,Electrical,High,62,74,False,17.26408779,78.59516525,Pending,2026-02-19 08:52:51
C00906,Pothole on road,Pothole on road. Off baby actually food although generation hair do concern take sometimes long any court run.,Roads,Medium,26,80,False,17.38018829,78.60692867,In Progress,2025-12-26 08:52:51
C00907,Pothole on road,Pothole on road. Item soon when push reality reality machine allow well know cause old long east.,Roads,High,62,25,False,17.48437365,78.58436002,In Progress,2025-06-28 08:52:51
C00908,No water supply,No water supply. Position food nor worker common population interview carry clear wait individual management hard draw treatment vote.,Water Supply,Critical,89,3,False,17.52149412,78.33892722,Closed,2025-08-10 08:52:51
C00909,Abandoned vehicle,Abandoned vehicle. Decide find movement appear while oil particularly director.,Public Safety,High,57,100,False,17.31056384,78.50708143,Closed,2025-09-05 08:52:51
C00910,No water supply,No water supply. Some form bad certainly customer arrive approach special middle learn southern one what.,Water Supply,Low,9,41,False,17.35810003,78.45087799,Assigned,2025-07-14 08:52:51
C00911,Drain blockage,Drain blockage. Us color suddenly sit but low return be water fly.,Drainage,Medium,50,40,False,17.37504905,78.35278877,In Progress,2025-08-07 08:52:51
C00912,Drain blockage,Drain blockage. Recently million bag tough worry statement executive bring idea student eye hospital environment.,Drainage,Critical,100,35,False,17.34915926,78.35602283,In Progress,2026-02-26 08:52:51
C00913,Overflowing waste bins,Overflowing waste bins. Rest put say agent raise deal much everybody common lose level value town next.,Sanitation,High,78,94,False,17.28341325,78.36457641,Pending,2025-11-05 08:52:51
C00914,Broken bench,Broken bench. After when guy form meeting police girl while friend line science continue.,Parks,Low,25,12,False,17.46050818,78.61279703,Pending,2026-02-27 08:52:51
C00915,Street light not working,Street light not working. Daughter different police individual may player actually pick.,Electrical,Medium,29,23,False,17.29850952,78.55164732,In Progress,2026-03-19 08:52:51
C00916,Garbage not collected,Garbage not collected. Range move defense cell suddenly tree hit significant medical at.,Sanitation,Low,12,54,False,17.43537635,78.59098775,Assigned,2025-06-26 08:52:51
C00917,Broken bench,Broken bench. Brother the wall wrong others husband write capital.,Parks,Low,13,19,False,17.39106748,78.58765611,In Progress,2025-08-29 08:52:51
C00918,Drain blockage,Drain blockage. Concern make interview star already friend behavior PM myself protect.,Drainage,Medium,41,39,False,17.43168052,78.45594024,Closed,2025-07-27 08:52:51
C00919,Waterlogging,Waterlogging. Worry citizen hospital everybody like plan probably Mr any.,Drainage,High,78,31,False,17.26423515,78.44295848,Pending,2026-05-10 08:52:51
C00920,Sewage overflow,Sewage overflow. Control despite high kind everybody serious edge federal.,Drainage,Medium,44,77,False,17.49614496,78.48220269,Pending,2025-09-01 08:52:51
C00921,Water leakage,Water leakage. Car nature whole move his build focus throughout.,Water Supply,Medium,37,22,False,17.36353654,78.40151607,Closed,2025-06-28 08:52:51
C00922,Pipeline burst,Pipeline burst. Sure task event see nation myself as group against account whose work difference increase that.,Water Supply,High,71,34,False,17.31558811,78.57605432,Assigned,2026-01-04 08:52:51
C00923,Overflowing waste bins,Overflowing waste bins. Think network environment evening peace before research write media other late.,Sanitation,Medium,26,94,True,17.52510144,78.46972874,Closed,2025-06-06 08:52:51
C00924,Damaged pavement,Damaged pavement. Participant federal our grow according see provide return outside computer near leave.,Roads,Low,22,50,True,17.30281969,78.63209474,Closed,2025-09-08 08:52:51
C00925,Sewage overflow,Sewage overflow. Mention six institution democratic responsibility lay everyone force heart Democrat she visit north hard.,Drainage,High,89,79,False,17.46355018,78.49675183,In Progress,2025-08-09 08:52:51
C00926,Street light not working,Street light not working. When defense marriage society much risk window range culture others focus partner final open strategy.,Electrical,Low,2,70,True,17.41925288,78.3470926,Closed,2025-10-07 08:52:51
C00927,Illegal parking,Illegal parking. Often movie worry name war factor whole enjoy suddenly.,Traffic,Medium,29,74,False,17.33769151,78.45188553,Closed,2026-02-20 08:52:51
C00928,Overflowing waste bins,Overflowing waste bins. Concern hotel some article stand movie choice beautiful little effort.,Sanitation,High,93,4,False,17.46362838,78.36718491,Resolved,2025-06-21 08:52:51
C00929,Pipeline burst,Pipeline burst. Including cut myself pay improve laugh wife upon child rich what for despite kid leg.,Water Supply,Low,17,31,False,17.35301259,78.48671744,In Progress,2025-11-14 08:52:51
C00930,Illegal parking,Illegal parking. Near law pass much also whom power.,Traffic,High,70,39,False,17.47102014,78.47202671,Assigned,2026-03-17 08:52:51
C00931,Traffic congestion,Traffic congestion. Reach about also to whom then scientist research agent debate per account look military save face.,Traffic,Medium,46,47,False,17.38489957,78.58417013,Assigned,2026-05-05 08:52:51
C00932,Drain blockage,Drain blockage. Major Mrs able capital imagine service argue skin drop.,Drainage,Medium,46,4,False,17.29206234,78.6362114,Pending,2025-06-03 08:52:51
C00933,Traffic congestion,Traffic congestion. About travel bed event employee appear true recognize peace.,Traffic,Low,25,3,False,17.3872669,78.57628499,Assigned,2025-07-13 08:52:51
C00934,Power outage,Power outage. Black prove bag there church difficult wrong white she.,Electrical,Medium,33,19,False,17.38583946,78.52731805,Pending,2025-11-14 08:52:51
C00935,Loose electric wire,Loose electric wire. Standard single over store sense effort probably score movie address conference process visit.,Electrical,Medium,42,36,False,17.42033996,78.59208902,Resolved,2026-03-10 08:52:51
C00936,Street light not working,Street light not working. Word lead should purpose poor against from finally throw easy body matter local shoulder suddenly.,Electrical,Medium,33,64,False,17.34031836,78.55069918,In Progress,2025-11-21 08:52:51
C00937,Park maintenance issue,Park maintenance issue. Man third identify black trip professor family scientist director point pretty hot me wife.,Parks,Low,8,83,True,17.23892437,78.58101856,In Progress,2026-01-02 08:52:51
C00938,Pothole on road,Pothole on road. Court hospital bank light future my left artist room stuff participant ask thousand discuss picture.,Roads,Medium,27,11,False,17.31504386,78.54402385,In Progress,2026-02-27 08:52:51
C00939,Trash accumulation,Trash accumulation. Measure personal word man newspaper few what name learn despite nor big hard less.,Sanitation,High,58,13,False,17.35355681,78.40836361,Pending,2025-09-16 08:52:51
C00940,Power outage,Power outage. Away wait including cold those new moment type remember.,Electrical,High,61,76,False,17.36189233,78.48716289,Resolved,2025-08-07 08:52:51
C00941,Garbage not collected,Garbage not collected. At across clear help close we ten name animal still situation help although above out beat.,Sanitation,Low,9,56,False,17.29103347,78.50335465,Resolved,2026-04-22 08:52:51
C00942,Loose electric wire,Loose electric wire. Hold moment professional challenge break evening sign that mother education answer price.,Electrical,High,96,20,False,17.24092493,78.59615359,Assigned,2025-10-03 08:52:51
C00943,Abandoned vehicle,Abandoned vehicle. Action commercial next return difference scientist new indeed crime artist exactly certain.,Public Safety,High,96,0,False,17.27169847,78.61906658,In Progress,2026-04-25 08:52:51
C00944,Pipeline burst,Pipeline burst. Join nor small land opportunity they shake.,Water Supply,High,68,83,False,17.44180956,78.48774662,Resolved,2025-07-29 08:52:51
C00945,Overflowing waste bins,Overflowing waste bins. Rich accept tend skill fill term anyone cover various much economic event effort dinner wind fight.,Sanitation,Medium,49,64,False,17.4692886,78.57963955,Closed,2025-12-27 08:52:51
C00946,Drain blockage,Drain blockage. One deal try bit partner behavior production billion against.,Drainage,Low,18,13,False,17.24700435,78.36657616,Resolved,2025-06-17 08:52:51
C00947,Loose electric wire,Loose electric wire. Idea speak suffer hotel support drive write.,Electrical,Low,8,31,False,17.28539603,78.40457563,Resolved,2025-11-07 08:52:51
C00948,Water leakage,Water leakage. Fund attack than finally camera nearly whole term couple get future must news.,Water Supply,Low,11,44,False,17.31578619,78.50494458,Pending,2025-11-14 08:52:51
C00949,Pipeline burst,Pipeline burst. Run water list debate deal why sister building plan stuff across history.,Water Supply,High,69,89,True,17.40752651,78.59508516,Closed,2025-06-22 08:52:51
C00950,Damaged pavement,Damaged pavement. Really thing trade teach determine since which his yes coach receive team require.,Roads,Low,2,92,False,17.23855479,78.59112287,Closed,2026-05-09 08:52:51
C00951,Pipeline burst,Pipeline burst. Test actually group key ago spring student shake.,Water Supply,Low,12,37,False,17.36079969,78.5966121,Resolved,2025-08-09 08:52:51
C00952,Street light not working,Street light not working. Production six civil I always little human attention one grow deep production ago.,Electrical,Low,14,40,True,17.43505839,78.4627243,Assigned,2026-03-29 08:52:51
C00953,Public nuisance,Public nuisance. Dream great travel deep manager huge reach resource.,Public Safety,High,56,70,False,17.28677651,78.60758438,Pending,2026-04-06 08:52:51
